GDP per capita,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belarus,4202.55524,4246.021484,4087.037404,4552.333217,4752.069119,4926.470562,5089.796157,5334.839053,5358.835409,5717.484769,5812.076528,5787.103292,6214.100626,6404.003018,6432.088143,6745.756336,6918.570791,7108.221135,7092.768632,7121.617015,7206.797648,7403.935693,7659.462612,7769.780184,7855.477291,8196.246503,8322.585273,8524.709602,8704.122491,8531.474049,8387.867158,7537.220854,6927.989472,6101.322972,5458.300401,5608.553867,6250.669177,6782.115598,7020.837845,7439.260823,7801.341759,8203.148243,8772.192182,9783.344451,10703.53457,11818.51769,12872.30532,14454.01998,14498.99288,15652.63563,16603.38953
Belgium,13088.0104,13683.98348,14188.10838,15051.23891,15445.75083,15836.54067,16370.47382,16990.67355,18078.23305,19147.63657,19794.97638,20756.71418,21961.16824,22814.72098,22449.87071,23679.71178,23801.75833,24458.57141,25012.07394,26107.04926,25766.55677,26119.77656,26118.73903,26766.043,27027.2519,27420.67946,28044.18478,29326.8483,30215.04141,31032.60163,31490.33771,31841.42512,31410.69171,32304.22944,32968.61334,33273.07787,34313.51696,34897.93758,36026.57201,37275.36709,37464.44606,37954.73408,38266.78162,39341.82298,39935.66383,40744.90224,41629.86421,41715.50906,40232.1977,40876.0514,40997.45719
Belize,2124.247781,2149.958425,2177.969808,2212.488056,2253.892822,2299.369149,2355.089162,2475.00069,2552.704004,2631.349595,2696.227797,2935.725763,3056.713687,3423.150703,3484.062683,3410.28779,3543.7971,3723.277911,3895.469207,4368.347453,4309.813114,4187.114124,4017.010186,3969.328852,3909.873067,3987.94202,4313.708251,4591.634428,5096.346555,5464.997131,5944.330581,6485.474103,6685.132777,6514.372284,6369.255244,6319.254643,6318.096988,6319.032684,6722.511248,7343.47863,7482.167162,7628.546148,8081.842911,8190.627448,8178.801081,8363.796287,8074.579928,8186.67991,8061.256579,8158.038585,8178.016964
Benin,1141.45432,1076.931283,1100.568712,1148.099483,1178.82978,1192.809592,1174.850289,1189.539068,1194.09413,1187.710965,1162.487245,1231.52162,1227.065036,1104.307923,1120.551721,1136.689604,1167.284928,1170.518445,1228.547427,1309.144381,1345.971503,1449.404187,1346.46154,1410.75308,1471.256639,1457.547031,1390.378079,1387.026949,1313.795577,1321.886916,1340.238726,1351.0796,1336.001598,1325.358762,1334.586954,1363.495718,1398.452841,1419.892471,1443.61841,1483.056894,1512.243375,1557.131805,1572.070037,1575.565171,1576.551826,1586.261509,1610.372538,1641.924201,1637.400396,1632.112477,1643.310118
Bermuda,20714.01273,21128.96843,20862.48462,22611.6909,23121.05035,25975.44911,28857.85991,28909.44298,29349.13732,30634.43629,31366.67191,31624.80462,31774.61693,31768.87783,32691.89737,34365.97041,34636.02166,35184.70222,37769.75343,38484.42019,36156.85018,36677.94717,36633.22811,35360.41556,37480.04431,38615.25081,39904.57943,39800.77202,39539.78327,37899.83058,38266.18567,36480.35965,37997.70313,38027.93475,40482.19714,41458.17698,42858.15906,44113.01319,45433.55206,46609.36393,46429.89314,49167.8853,50396.00175,51968.79368,54161.5556,57029.8651,58543.5991,58948.53941,55989.14825,54797.15575,54984.51039
Bhutan,937.50897,946.9927438,956.5724548,966.2490735,976.0235802,985.8969651,995.8702284,1005.944381,1016.120442,1026.399444,1017.027668,991.6602154,969.1865209,981.7392629,915.1571793,962.0811809,1002.327468,1038.117467,1053.626188,1073.86433,1164.891926,1162.56875,1227.480069,1271.588721,1307.498184,1445.930972,1834.802609,1885.362315,1983.525799,2188.124433,2215.905362,2338.095834,2442.452574,2639.28711,2845.079858,3015.812486,3145.213224,3261.297855,3426.028921,3587.993236,3739.980621,3997.987241,4182.591847,4354.035732,4535.773145,4735.907997,5472.120191,5623.250055,5898.143768,6475.43203,6909.268833
Bolivia,2732.192486,2819.425732,2932.283377,3003.060878,3077.704187,3223.107704,3344.165481,3543.028937,3612.710654,3709.459923,3757.262601,3852.787088,4017.110414,4121.536608,4288.17876,4511.653383,4586.760316,4626.669284,4519.436333,4383.765914,4341.25782,4080.540494,3833.692455,3807.732624,3717.02899,3535.037605,3559.801181,3620.885289,3644.673069,3745.428243,3855.244902,3828.701256,3897.790074,3993.849256,4090.889234,4180.750226,4299.831154,4433.747916,4366.313267,4388.467563,4382.582602,4412.453826,4460.922975,4561.648594,4677.125494,4799.637572,4916.446333,5114.583695,5183.082795,5294.039176,5461.752632
Bosnia and Herzegovina,2379.921031,2388.713492,2598.738811,2806.8036,2840.049161,2949.269979,2958.721065,2980.322247,3270.522435,3383.86164,3721.437697,3794.907425,3868.189223,4305.34989,4244.631163,4311.432344,4557.508089,4741.371717,4996.513539,5177.977664,5209.508862,5184.911936,5171.07001,5243.359065,5228.297508,5384.381389,5268.739925,5141.925425,5025.29359,4614.200136,4054.638309,3056.578357,2275.120818,2441.59589,2641.126752,4186.0042,5720.451721,6302.131188,6654.90257,6880.769718,7057.77175,7223.811641,7318.345923,7581.820017,7808.325615,8272.785741,8785.831347,9289.310936,9034.521107,9116.523657,9248.094595
Botswana,997.0779449,1009.613565,1026.075308,1045.634584,1061.672,1148.544969,1246.766658,1353.991969,1461.800352,1573.159643,1816.033756,2323.350021,2728.587714,3158.547303,2973.640514,3357.65508,3299.701054,3736.41456,3919.170509,4288.754527,4515.229415,4671.251234,5213.586417,5594.279176,5805.311403,6045.074272,6369.663183,7143.331664,7820.706432,8035.852243,8174.769608,8164.028416,8068.100085,8106.483096,8242.408423,8500.485629,8875.348839,9228.265567,9665.1855,10374.74653,10821.87015,11294.00096,11691.70843,12031.95693,12375.196,12906.02758,13354.06279,13589.4792,12792.40768,13529.2105,14050.70459
Brazil,4426.939449,4595.522326,4490.377288,4513.461451,4491.486894,4662.760395,4723.996073,5050.576103,5384.57745,5762.77073,6273.449278,6866.88421,7655.793457,8090.106022,8307.358674,8953.4283,9173.066657,9401.390836,9803.655399,10499.5091,9818.605581,9683.660235,9189.817364,9490.034328,10036.42581,10584.73051,10752.81298,10546.53012,10692.13094,9829.788415,9775.938824,9572.713754,9900.386339,10334.90597,10623.70009,10757.0898,10960.62883,10826.43921,10769.15605,11095.7158,11049.52402,11199.22351,11170.57395,11654.13041,11839.38081,12178.79118,12795.39928,13334.52045,13173.4029,14042.32122,14300.74066
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,66388.6974,67431.46437,68490.61008,69566.39178,70659.07079,71768.9125,72896.18648,74041.16656,75204.13083,76385.36178,80611.50788,85130.1485,89576.81059,96081.52964,92593.77481,106927.5112,114134.546,117501.2305,139029.7863,125113.5441,97242.64249,98170.9904,95919.85328,93841.32532,89892.06986,85022.04957,84294.44571,82821.89169,79641.94693,79540.10148,80448.44862,77354.84473,75614.34788,74906.65763,75172.01274,75875.96581,77029.07295,74754.23962,75210.38686,75539.44046,75810.64021,76933.17277,77370.08701,76032.30862,74665.82814,76666.03985,75642.52683,73187.50684,70930.81678,71513.19059,71991.08498
Bulgaria,5285.681621,5669.830213,5881.029255,6292.910357,6624.25606,7097.990997,7432.568869,7515.655739,7821.429002,8212.829219,8434.107949,8792.595814,9092.311798,9315.123823,10032.5145,10292.40501,10144.96555,10356.70451,10745.16858,10398.98864,10644.43442,10960.5236,10731.53731,11064.19303,10712.31613,10976.87599,10981.39819,10900.30995,10695.41197,9630.05354,8943.465287,8399.616144,8485.938294,8730.24661,9089.542884,8330.771475,7956.841195,8372.985487,8650.801708,9205.097612,9681.66871,10257.62987,10802.19291,11622.93265,12464.90617,13344.67086,14277.77167,15228.80208,14476.34264,14647.14769,15278.43848
Burkina Faso,760.9360359,802.8458172,787.3594027,799.5713736,823.3701811,819.8693934,883.2007783,900.9068963,908.3166346,899.7829124,924.3966667,949.771331,887.430048,858.1524205,808.8842562,788.2659599,826.0418596,901.8100864,889.9403532,883.1290694,899.7828486,896.94841,864.5621389,856.1974255,943.1750116,1061.624976,1013.47252,1064.370901,1019.41176,978.0372661,1042.394055,1035.351379,995.5208942,976.6985268,988.8527872,1032.52202,1051.510467,1087.40797,1121.840688,1112.828318,1144.490981,1153.017668,1200.67405,1218.80915,1266.752947,1306.926559,1320.851283,1356.707262,1355.901359,1419.748529,1435.359364
Burundi,511.3641838,545.0177293,558.7171716,577.0801378,583.1863871,594.5248559,633.6656016,613.7928587,595.4970108,741.597665,783.3121516,712.1063053,761.2221444,743.4253695,734.2825954,776.7353958,853.2752957,823.3135632,800.9744383,828.3408773,881.4741284,858.6455833,864.3161758,843.4351907,921.9743333,938.8708015,954.1081124,964.4973691,956.3369427,967.3386323,991.9984587,969.2694395,940.6324685,897.8952375,778.2370853,710.1844272,710.5959261,726.835471,698.7764957,680.9049922,675.9146418,684.9538801,655.3972567,662.4811494,644.5642628,665.9527863,684.1413388,701.8336025,709.1564216,718.7542927,731.3298642
Cambodia,1516.161237,1595.527951,1669.05766,1580.363893,1611.924545,1640.919702,1680.676093,1711.941492,1693.626964,1675.662086,1569.56667,1468.54721,1183.556791,1122.166107,1116.579093,1136.76093,994.4965066,1021.916448,907.3959303,854.9605548,837.1055709,806.092906,804.8482303,804.5128039,800.9975586,805.7724493,936.3574442,1010.921571,1043.396895,1012.946573,1073.727557,1115.018962,1021.49658,1075.258203,1145.179603,1080.386965,1132.235498,1132.33177,1254.949894,1319.384793,1405.964944,1530.647368,1632.679571,1756.836531,1951.498793,2110.571875,2300.015597,2413.788279,2376.199263,2496.088939,2646.335556
Cameroon,1758.311909,1782.491945,1817.576407,1850.096505,1853.812288,1905.139439,1921.114099,2006.976115,2064.444926,2083.530837,2100.783254,2144.87115,2128.545081,2173.085726,2231.596994,2215.368373,2271.318827,2323.378929,2378.884497,2533.367889,2873.970111,3015.782144,3135.422532,3279.876589,3463.131946,3597.121863,3314.663704,3070.98014,2714.597766,2593.085191,2423.798741,2283.711137,2150.764087,2041.576383,2055.490635,2104.476412,2157.849982,2211.475631,2255.039484,2296.795145,2365.200625,2463.090529,2505.606607,2543.452456,2540.763451,2551.197053,2552.191069,2572.727694,2549.414507,2569.821017,2609.897514
Canada,14823.03677,15568.42954,16054.21955,16780.84727,17575.55879,18369.70988,18591.4575,19264.06672,19991.20713,20223.02963,21081.31575,21938.14766,23222.63705,23838.18706,24025.42873,25009.06592,25546.57201,26314.37751,27136.59886,27145.93147,27643.9237,26480.86275,26979.29866,28253.73639,29506.07704,29976.02939,30791.71537,31874.01816,32067.6988,31671.48022,30635.69044,30463.71608,30749.95012,31852.61675,32344.98418,32466.59856,33484.36082,34504.94798,36028.42773,37524.56112,37665.59803,38542.63334,38896.83566,39719.88016,40565.27077,41220.35779,41634.19308,41606.30059,39949.47504,40728.72409,41332.53006
Cape Verde,1108.629052,1140.011446,1167.777314,1192.179092,1214.456375,1235.637204,1254.730813,1272.895003,1290.554645,1307.938278,1196.786472,1132.988849,1117.497275,1081.430272,1108.846124,1099.495247,1094.092888,1197.206088,1313.601419,1776.176632,1909.651312,1935.524605,2087.50958,2132.391822,2280.200236,2306.965286,2426.529441,2458.930754,2547.684636,2601.597067,2566.640842,2532.154304,2498.131143,2621.849855,2785.717783,2930.735001,3117.595832,3307.29681,3553.170882,3754.042971,3942.915044,4104.663072,4260.737913,4411.526,4638.303174,5032.593534,5389.386043,5643.575579,5772.830474,5989.717838,6205.662396
Cayman Islands,16513.97283,17253.26908,18025.6621,18832.63354,19675.73142,20556.57305,21476.84812,22438.32199,23442.83905,24492.32626,24230.63497,24898.46618,26894.51557,27850.77142,28815.94143,29804.19979,30829.72819,31963.91267,33334.77137,35000.65456,37027.34964,39390.02207,43209.81963,44913.29043,44713.7012,46133.3613,48064.40152,52209.03736,54060.09078,58303.94045,56409.95072,55590.00103,55749.33643,56188.64322,56363.9478,56636.15311,57218.2471,58082.8833,57777.29369,56350.16485,54940.39456,54374.33911,54119.89683,53413.21566,55748.67698,56745.92645,57505.79622,56607.63675,51746.12555,49598.2301,49686.31436
Central African Rep.,1611.709273,1539.979103,1506.06813,1500.486834,1480.309919,1440.585541,1466.389462,1448.513678,1490.583746,1522.21725,1442.91457,1381.142604,1415.45608,1345.888541,1336.364969,1358.63827,1431.94874,1419.85809,1305.272592,1259.386071,1245.327583,1234.94946,1129.948682,1172.857589,1150.892943,1145.143785,1090.542285,1081.373102,1090.449345,1098.71579,1061.322886,965.3751111,939.4059558,973.1260004,1001.583676,907.205162,955.8244432,971.1898254,985.5983916,983.8011882,972.606506,953.4807573,867.1218061,866.1742225,871.2707394,894.9416626,917.8202527,918.3072944,900.8742081,905.6787826,912.7540289
Chad,1475.500739,1526.610576,1477.447174,1412.034823,1388.886338,1334.821373,1314.606783,1280.599956,1339.057138,1335.413387,1330.954422,1212.775549,1127.446997,1252.867382,1434.24018,1379.376933,1245.597549,1209.278468,940.0163281,883.934185,873.0273397,876.442297,974.2129481,984.5416687,1189.933374,1109.978537,1046.124843,1171.211223,1205.835706,1097.444585,1170.854731,1162.2044,1102.477758,1123.974225,1094.01195,1093.043976,1103.87479,1152.034656,1141.582665,1117.136783,1190.916656,1269.979192,1413.766008,1833.731084,1921.145526,1877.139728,1834.694062,1819.515141,1753.80803,1933.199029,1896.032948
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,6044.163243,6181.126192,6422.041344,6420.662991,6336.01487,6899.850484,6984.778899,7098.066603,7226.518178,7241.732826,7748.210428,7514.615952,6967.99387,6910.277093,5915.408848,6017.47541,6506.205753,6936.128381,7398.476426,7863.251843,8212.131932,6969.748948,6658.675854,6936.443651,6963.031662,7236.865819,7587.162061,8002.586687,8697.821249,8861.49916,9406.587046,10389.82807,10943.44598,11627.72338,12422.74666,13158.11052,13839.26932,14101.85156,13822.2456,14273.02118,14587.65248,14743.00343,15158.49276,15934.24327,16771.71659,17569.95945,18300.54473,18674.70819,18330.0576,19201.40283,20154.42262
China,732.242079,750.7792306,848.1336177,960.0731836,1048.231574,1132.279797,993.8762806,932.3964037,1029.180226,1203.242127,1252.111992,1214.006148,1297.579073,1299.270964,1356.459625,1325.445171,1355.401921,1535.075825,1612.811234,1647.66089,1702.674533,1835.369783,1935.710401,2312.197519,2494.83816,2592.58608,2693.418551,2626.650632,2446.469045,2539.729686,2660.733455,2858.067526,3170.303927,3412.651491,3805.931495,3897.178148,4101.285251,4030.106053,4194.441131,4396.861575,4670.302458,5148.056008,5538.593855,6072.403213,6648.210991,7433.467739,8225.493482,8363.484685,8945.61761,9555.926137,10040.62987
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,3542.013959,3612.728042,3614.78162,3720.727089,3755.740163,3852.809134,3882.888881,4016.123434,4162.501533,4330.907479,4487.592289,4732.210015,4950.788081,5156.615562,5200.834018,5372.372389,5531.11319,5936.154092,6179.692362,6348.315184,6413.231663,6374.400799,6387.074943,6480.179215,6572.037922,6840.853502,7107.344176,7315.486856,7458.371839,7685.880244,7713.796848,7892.160405,8182.711678,8441.600217,8716.595283,8729.989212,8867.27566,8757.184496,8234.586479,8334.125841,8317.377743,8342.399664,8531.214499,8813.589131,9140.711736,9636.791775,10179.68571,10416.42665,10464.27789,10752.29898,11332.34198
Comoros,1047.33747,1115.671436,1321.38463,1388.326956,1352.726325,1465.50886,1583.296723,1546.595869,1474.484505,1475.613394,1504.350623,1503.513123,1575.651853,1579.951986,1631.326565,1577.760742,1576.651457,1559.119366,1640.724187,1696.094813,1700.042761,1748.841923,1775.991325,1794.2721,1783.387666,1767.873078,1750.862824,1753.607343,1683.276326,1656.979702,1646.261002,1662.811155,1671.863107,1545.445106,1562.099414,1502.931091,1526.882041,1505.122327,1494.573105,1476.405812,1485.674146,1506.624744,1503.107611,1459.718157,1481.003749,1459.483927,1427.653861,1403.450816,1391.446812,1383.315285,1378.125397
